# 1250 BJT suttas with NO clean 1:1 on Mahamevnawa, grouped by reason.
# Regenerated by build_map.py on every run -- do not hand-edit (edits are overwritten).
# Nearly all are peyyala: repetition series Mahamevnawa bundles onto fewer pages.

# === region-mismatch  (62) ===
#   MIXED region. The two editions enumerate this stretch with different sutta counts, so the positional step skips the WHOLE region. Most are peyyala, but a minority are ordinary suttas that DO have a separate Mahamevnawa page (e.g. an-10-3-2 අජිත, sn-2-6-1 විඤ්ඤාණ) -- collateral of a spelling-variant vagga name; recoverable with finer per-title alignment, still link-gated. NOT all peyyala.
an-2-16-1	2. 16. 1-5
an-5-4-4-7	නෙසජ්ජිකා සුත්තං
an-5-4-4-8	යථාසන්ථතික සුත්තං
an-5-4-4-9	එකාසනික සුත්තං
an-5-4-4-10	ඛලුපච්ඡාභත්තික සුත්තං
an-5-4-4-11	පත්තපිණ්ඩික සුත්තං
an-5-5-4-1	අභාවනීය සුත්තං
an-5-5-4-2	පියසුත්තං
an-5-5-4-3	සොභනසුත්තං
an-5-5-4-4	බහූපකාරසුත්තං
an-5-5-4-5	අනුකම්පකසුත්තං
an-5-5-4-6	පඨමඅවණ්ණාරහසුත්තං
an-5-5-4-7	දුතියඅවණ්ණාරහසුත්තං
an-5-5-4-8	තතියඅවණ්ණාරහසුත්තං
an-5-5-4-9	පඨමච්ඡරියසුත්තං
an-5-5-4-10	දුතිය මච්ඡරියසුත්තං
an-5-5-5-1	දුච්චරිතසුත්තං
an-5-5-5-2	කායදුච්චරිතසුත්තං
an-5-5-5-3	වචීදුච්චරිතසුත්තං
an-5-5-5-4	මනොදුච්චරිතසුත්තං
an-5-5-5-5	අපරදුච්චරිතසුත්තං
an-5-5-5-6	අපරකායදුච්චරිතසුත්තං
an-5-5-5-7	අපරවචීදුච්චරිතසුත්තං
an-5-5-5-8	අපරමනොදුච්චරිතසුත්තං
an-5-5-5-9	සීවථිකාසුත්තං
an-5-5-5-10	පුග්ගලප්පසාදසුත්තං
an-5-6-1-1	උපසම්පාදෙතබ්බසුත්තං
an-5-6-1-2	නිස්සයසුත්තං
an-5-6-1-3	සාමණෙරසුත්තං
an-5-6-1-4	මච්ඡරියසුත්තං
an-5-6-1-5	මච්ඡරියපහානසුත්තං
an-5-6-1-6	පඨමජ්ඣානසුත්තං
an-5-6-1-7	දුතියජ්ඣානාදිසුත්තානි
an-5-6-1-8	අපරපඨමජ්ඣානසුත්තං
an-5-6-1-9	අපරදුතියජ්ඣානාදිසුත්තානි
an-5-6-1-10	සොතාපත්තිඵලාදිසච්ඡිකිරියා සුත්තානි
an-5-6-1-11	අපරසොතාපත්තිඵලාදි සච්ඡිකිරියා සුත්තානි
an-5-6-2-1	භත්තුද්දෙසක සුත්තං
an-5-6-2-2	දුතියභත්තුද්දෙසකාදිසුත්තානි
an-5-6-2-3	සෙනාසන පඤ්ඤාපකාදි සුත්තානි
an-5-6-2-4	භික්ඛුසුත්තං
an-5-6-2-5	භික්ඛුනී සුත්තාදීනි
an-5-6-2-6	ආජීවක සුත්තං
an-5-6-2-7	නිගණ්ඨසුත්තාදීනි
an-5-6-3-1	රාගාදිපෙය්යාලසුත්තානි
an-5-6-3-2	රාගාදිපෙය්යාලං
an-6-2-5-1	පාතුභාව සුත්තං
an-6-2-5-2	ආනිසංස සුත්තං
an-6-2-5-3	අනිච්ච සුත්තං
an-6-2-5-4	දුක්ඛ සුත්තං
an-6-2-5-5	අනත්ත සුත්තං
an-6-2-5-6	නිබ්බාන සුත්තං
an-6-2-5-7	අනවත්ථිත සුත්තං
an-6-2-5-8	උක්ඛිත්තාසික සුත්තං
an-6-2-5-9	අතම්මය සුත්තං
an-6-2-5-10	භව සුත්තං
an-6-2-5-11	තණ්හා සුත්තං
an-6-3-1-1	රාග සුත්තං
an-6-3-1-2	දුච්චරිත සුත්තං
an-6-3-1-3	විතක්ක සුත්තං
an-6-3-1-4	සඤ්ඤා සුත්තං
an-6-3-1-5	ධාතු සුත්තං
an-6-3-1-6	අස්සාද සුත්තං
an-6-3-1-7	අරති සුත්තං
an-6-3-1-8	අසන්තුට්ඨි සුත්තං
an-6-3-1-9	දොවචස්සතා සුත්තං
an-6-3-1-10	උද්ධච්ච සුත්තං
an-6-3-2-1	කායානුපස්සී සුත්තං
an-6-3-2-2	අජ්ඣත්තකායානුපස්සි ආදි පඤ්චදස සුත්තානි
an-6-3-2-3	තපුස්ස සුත්තං
an-6-3-2-4	භල්ලිකාදි වීසති සුත්තානි
an-7-2-3-1	පඨම විනයධර සුත්තං
an-7-2-3-2	දුතිය විනයධර සුත්තං
an-7-2-3-3	තතිය විනයධර සුත්තං
an-7-2-3-4	චතුත්ථ විනයධර සුත්තං
an-7-2-3-5	පඨම විනයධරසොභන සුත්තං
an-7-2-3-6	දුතිය විනයධරසොභන සුත්තං
an-7-2-3-7	තතියවිනයධරසොභන සුත්තං
an-7-2-3-8	චතුත්ථවිනයධරසොභන සුත්තං
an-7-2-3-9	සත්ථුසාසන සුත්තං
an-7-2-3-10	අධිකරණසමථ සුත්තං
an-7-2-4-1	භික්ඛුධම්ම සුත්තං
an-7-2-4-2	සමණධම්ම සුත්තං
an-7-2-4-3	බ්රාහ්මණධම්ම සුත්තං
an-7-2-4-4	සොත්ථියධම්ම සුත්තං
an-7-2-4-5	නහාතකධම්ම සුත්තං
an-7-2-4-6	වෙදගූධම්ම සුත්තං
an-7-2-4-7	අරියධම්ම සුත්තං
an-7-2-4-8	අරහත්ත ධම්මසුත්තං
an-7-2-4-9	අසද්ධම්මසුත්තං
an-7-2-4-10	සද්ධම්මසුත්තං
an-7-2-5-1	චක්ඛු අනිච්චානුපස්සී සුත්තං
an-7-2-5-2	චක්ඛුදුක්ඛානුපස්සී සුත්තාදිනී
an-7-2-5-3	සොතඅනිච්චානුපස්සී සුත්තාදීනි
an-8-3-1	අට්ඨමග්ගඞ්ග සුත්තං
an-8-3-2	අට්ඨඅභිභායතන සුත්තං
an-8-3-3	අට්ඨවිමොක්ඛ සුත්තං
an-8-3-4	8. 11. 4-510
an-9-1-5-1	සම්බාධ සුත්තං
an-9-1-5-2	කායසක්ඛි සුත්තං
an-9-1-5-3	පඤ්ඤාවිමුත්ති සුත්තං
an-9-1-5-4	උභතොභාගවිමුත්ත සුත්තං
an-9-1-5-5	සන්දිට්ඨිකධම්ම සුත්තං
an-9-1-5-6	සන්දිට්ඨිකනිබ්බාන සුත්තං
an-9-1-5-7	නිබ්බාන සුත්තං
an-9-1-5-8	පරිනිබ්බාන සුත්තං
an-9-1-5-9	තදඞ්ගනිබ්බාන සුත්තං
an-9-1-5-10	දිට්ඨධම්මනිබ්බාන සුත්තං
an-9-2-1-1	ඛෙම සුත්තං
an-9-2-1-2	ඛෙමප්පත්ත සුත්තං
an-9-2-1-3	අමත සුත්තං
an-9-2-1-4	අමතප්පත්ත සුත්තං
an-9-2-1-5	අභය සුත්තං
an-9-2-1-6	අභයප්පත්ත සුත්තං
an-9-2-1-7	පස්සද්ධි සුත්තං
an-9-2-1-8	අනුපුබ්බපස්සද්ධි සුත්තං
an-9-2-1-9	නිරොධ සුත්තං
an-9-2-1-10	අනුපුබ්බ නිරොධ සුත්තං
an-9-2-1-11	අරහත්තා භබ්බාභබ්බධම්ම සුත්තං
an-9-2-2-1	සික්ඛාදුබ්බල්ය සතිපට්ඨාන සුත්තං
an-9-2-2-2	නීවරණ සතිපට්ඨාන සුත්තං
an-9-2-2-3	කාමගුණ සතිපට්ඨාන සුත්තං
an-9-2-2-4	උපාදානක්ඛන්ධ සතිපට්ඨාන සුත්තං
an-9-2-2-5	ඔරම්භාගිය සතිපට්ඨාන සුත්තං
an-9-2-2-6	ගති සතිපට්ඨාන සුත්තං
an-9-2-2-7	මච්ඡරිය සතිපට්ඨාන සුත්තං
an-9-2-2-8	උද්ධම්භාගිය සතිපට්ඨාන සුත්තං
an-9-2-2-9	චෙතොඛිල සතිපට්ඨාන සුත්තං
an-9-2-2-10	විනිබන්ධ සතිපට්ඨාන සුත්තං
an-9-2-3-1	සික්ඛාදුබ්බල්යසම්මප්පධාන සුත්තං
an-9-2-3-2	9. 2. 3. 2-9
an-9-2-3-3	විනිබන්ධ සම්මප්පධාන සුත්තං
an-9-2-4-1	සික්ඛාදුබ්බල්ය ඉද්ධිපාද සුත්තං
an-9-2-4-2	9. 2. 4. 2-9
an-9-2-4-3	විනිබන්ධ ඉද්ධිපාද සුත්තං
an-9-2-5-1	නවසඤ්ඤා සුත්තං
an-9-2-5-2	ඣානසමාපත්ති සුත්තං
an-9-2-5-3	9. 2. 5. 3-18
an-9-2-5-4	9. 2. 5. 19-340
an-10-3-3-1	පඨම සුත්තං
an-10-3-3-2	දුතිය සුත්තං
an-10-3-3-3	තතිය සුත්තං
an-10-3-3-4	චතුත්ථ සුත්තං
an-10-3-3-5	පඤ්චම සුත්තං
an-10-3-3-6	ඡට්ඨම සුත්තං
an-10-3-3-7	සත්තම සුත්තං
an-10-3-3-8	අට්ඨම සුත්තං
an-10-3-3-9	නවම සුත්තං
an-10-3-3-10	දසම සුත්තං
an-10-3-3-11	එකාදසම සුත්තං
an-10-3-4-1	සාධු සුත්තං
an-10-3-4-2	අරියධම්ම සුත්තං
an-10-3-4-3	කුසල සුත්තං
an-10-3-4-4	අත්ථ සුත්තං
an-10-3-4-5	ධම්ම සුත්තං
an-10-3-4-6	සාසව සුත්තං
an-10-3-4-7	සාවජ්ජ සුත්තං
an-10-3-4-8	තපනීය සුත්තං
an-10-3-4-9	ආචයගාමී සුත්තං
an-10-3-4-10	දුක්ඛුද්රය සුත්තං
an-10-3-4-11	දුක්ඛවිපාක සුත්තං
an-10-3-5-1	අරියමග්ග සුත්තං
an-10-3-5-2	සුක්කමග්ග සුත්තං
an-10-3-5-3	සද්ධම්ම සුත්තං
an-10-3-5-4	සප්පුරිසධම්ම සුත්තං
an-10-3-5-5	උප්පාදෙතබ්බ සුත්තං
an-10-3-5-6	ආසෙවිතබ්බ සුත්තං
an-10-3-5-7	භාවෙතබ්බ සුත්තං
an-10-3-5-8	බහුලීකත්තබ්බ සුත්තං
an-10-3-5-9	අනුස්සරිතබ්බ සුත්තං
an-10-3-5-10	සච්ඡිකාතබ්බ සුත්තං
an-10-4-1-1	සෙවිතබ්බ සුත්තං
an-10-4-1-2	භජිතබ්බාදි සුත්තානි
an-10-4-3-1	සාධු සුත්තං
an-10-4-3-2	අරියධම්ම සුත්තං
an-10-4-3-3	කුසල සුත්තං
an-10-4-3-4	අත්ථ සුත්තං
an-10-4-3-5	ධම්ම සුත්තං
an-10-4-3-6	සාසවධම්ම සුත්තං
an-10-4-3-7	සාවජ්ජ සුත්තං
an-10-4-3-8	තපනීය සුත්තං
an-10-4-3-9	ආචයගාමී සුත්තං
an-10-4-3-10	දුක්ඛුද්රය සුත්තං
an-10-4-3-11	දුක්ඛවිපාක සුත්තං
an-10-4-4-1	අරියමග්ග සුත්තං
an-10-4-4-2	කණ්හමග්ග සුත්තං
an-10-4-4-3	සද්ධම්ම සුත්තං
an-10-4-4-4	සප්පුරිසධම්ම සුත්තං
an-10-4-4-5	උප්පාදෙතබ්බධම්ම සුත්තං
an-10-4-4-6	ආසෙවිතබ්බධම්ම සුත්තං
an-10-4-4-7	භාවෙතබ්බධම්ම සුත්තං
an-10-4-4-8	බහුලීකාතබ්බධම්ම සුත්තං
an-10-4-4-9	අනුස්සරිතබ්බධම්ම සුත්තං
an-10-4-4-10	සච්ඡිකාතබ්බධම්ම සුත්තං
an-10-4-5-1	සෙවිතබ්බාදි ද්වාදස සුත්තානි
an-10-5-2-1	පඨම සුත්තං
an-10-5-2-2	දුතිය සුත්තං
an-10-5-2-3	තතිය සුත්තං
an-10-5-2-4	චතුත්ථ සුත්තං
an-10-5-2-5	පඤ්චමාදි සුත්තානි
an-10-5-2-6	10. 5. 2. 6
an-10-5-2-7	10. 5. 2. 7
an-10-5-2-8	10. 5. 2. 8
an-10-5-2-9	10. 5. 2. 9
an-10-5-2-10	10. 5. 2. 10
an-10-5-2-11	10. 5. 2. 11
an-10-5-2-12	10. 5. 2. 12
an-10-5-2-13	10. 5. 2. 13
an-10-5-2-14	10. 5. 2. 14
an-10-5-2-15	10. 5. 2. 15
an-10-5-2-16	10. 5. 2. 16
an-11-3-1	අනිච්චානුපස්සනා සුත්තං
an-11-3-2	11. 3. 9-48
an-11-3-3	11. 3. 49-96
an-11-3-4	11. 3. 97-144
an-11-3-5	11. 3. 145-192
an-11-3-6	11. 3. 193-240
an-11-3-7	11. 3. 241-288
an-11-3-8	11. 3. 289-336
an-11-3-9	11. 3. 337-384
an-11-3-10	11. 3. 285-432
an-11-3-11	11. 3. 433-480
an-11-3-12	11. 3. 481-960
an-11-4-1	11. 4. 1
an-11-4-2	11. 4. 2-10
an-11-4-3	11. 4. 11-170
sn-2-1-9-1-1	ජරාමරණසුත්තං
sn-2-1-9-1-2	ජාතිසුත්තං
sn-2-1-9-1-3	භවසුත්තං
sn-2-1-9-1-4	උපාදානසුත්තං
sn-2-1-9-1-5	තණ්හාසුත්තං
sn-2-1-9-1-6	වෙදනාසුත්තං
sn-2-1-9-1-7	ඵස්සසුත්තං
sn-2-1-9-1-8	සළායතනසුත්තං
sn-2-1-9-1-9	නාමරූපසුත්තං
sn-2-1-9-1-10	විඤ්ඤාණසුත්තං
sn-2-1-9-1-11	සඞ්ඛාරසුත්තං
sn-2-1-9-2-1	ජරාමරණාදීසුත්තානි
sn-2-1-9-3-1	ජරාමරණාදීසුත්තානි
sn-2-1-9-4-1	ජරාමරණාදීසුත්තානි
sn-2-1-9-5-1	ජරාමරණාදීසුත්තානි
sn-2-1-9-6-1	ජරාමරණාදීසුත්තානි
sn-2-1-9-7-1	ජරාමරණාදීසුත්තානි
sn-2-1-9-8-1	ජරාමරණාදීසුත්තානි
sn-2-1-9-9-1	ජරාමරණාදීසුත්තානි
sn-2-1-9-10-1	ජරාමරණාදීසුත්තානි
sn-2-1-9-11-1	ජරාමරණාදීසුත්තානි
sn-2-1-9-12-1	ජරාමරණාදීසුත්තානි
sn-2-6-2-1	චක්ඛුආදිසුත්තං
sn-2-6-2-2	රූපාදිසුත්තං
sn-2-6-2-3	විඤ්ඤාණසුත්තං
sn-2-6-2-4	සම්ඵස්සසුත්තං
sn-2-6-2-5	වෙදනාසුත්තං
sn-2-6-2-6	සඤ්ඤාසුත්තං
sn-2-6-2-7	සඤ්චෙතනාසුත්තං
sn-2-6-2-8	තණ්හාසුත්තං
sn-2-6-2-9	ධාතුසුත්තං
sn-2-6-2-10	ඛන්ධසුත්තං
sn-2-6-2-11	මානානුසයසුත්තං
sn-2-6-2-12	මානාපගතසුත්තං
sn-3-3-2-1	වාත සුත්තං
sn-3-3-2-2	එතං මමසුත්තං
sn-3-3-2-3	සො අත්තාසුත්තං
sn-3-3-2-4	නොච මෙ සියාසුත්තං
sn-3-3-2-5	නත්ථි දින්නසුත්තං
sn-3-3-2-6	කරතොසුත්තං
sn-3-3-2-7	නත්ථි හෙතුසුත්තං
sn-3-3-2-8	මහාදිට්ඨි සුත්තං
sn-3-3-2-9	සස්සතලොකසුත්තං
sn-3-3-2-10	අසස්සතලොකසුත්තං
sn-3-3-2-11	අන්තවාලොක සුත්තං
sn-3-3-2-12	අනන්තවාලොක සුත්තං
sn-3-3-2-13	තංජීවතං සරීර සුත්තං
sn-3-3-2-14	අඤ්ඤං ජීව අඤ්ඤං සරීර සුත්තං
sn-3-3-2-15	හොති තථාගත සුත්තං
sn-3-3-2-16	නහොති තථාගත සුත්තං
sn-3-3-2-17	හොති ච නචහොති තථාගත සුත්තං
sn-3-3-2-18	නෙව හොති න නහොති සුත්තං
sn-3-3-2-19	රූපී අත්තා සුත්තං
sn-3-3-2-20	අරූපී අත්තා සුත්තං
sn-3-3-2-21	රූපීච අරූපීච අත්තා සුත්තං
sn-3-3-2-22	නෙව රූපී නාරූපී අත්තා සුත්තං
sn-3-3-2-23	එකන්තසුඛී අත්තා සුත්තං
sn-3-3-2-24	එකන්තදුක්ඛී අත්තා සුත්තං
sn-3-3-2-25	සුඛදුක්ඛී අත්තා සුත්තං
sn-3-3-2-26	අදුක්ඛමසුඛී අත්තා සුත්තං
sn-3-6-1-1	චක්ඛු සුත්තං
sn-3-6-1-2	රූප සුත්තං
sn-3-6-1-3	විඤ්ඤාණ සුත්තං
sn-3-6-1-4	ඵස්ස සුත්තං
sn-3-6-1-5	වෙදනා සුත්තං
sn-3-6-1-6	සඤ්ඤා සුත්තං
sn-3-6-1-7	චෙතනා සුත්තං
sn-3-6-1-8	තණ්හා සුත්තං
sn-3-6-1-9	ධාතු සුත්තං
sn-3-6-1-10	ඛන්ධ සුත්තං
sn-3-7-1-1	විවෙකජ සුත්තං
sn-3-7-1-2	අවිතක්ක සුත්තං
sn-3-7-1-3	පීති සුත්තං
sn-3-7-1-4	උපෙක්ඛා සුත්තං
sn-3-7-1-5	ආකාසානඤ්චායතන සුත්තං
sn-3-7-1-6	විඤ්ඤාණඤ්චායතන සුත්තං
sn-3-7-1-7	ආකිඤ්චඤ්ඤායතන සුත්තං
sn-3-7-1-8	නෙවසඤ්ඤා නාසඤ්ඤායතන සුත්තං
sn-3-7-1-9	නිරොධ සමාපත්ති සුත්තං
sn-3-7-1-10	සූචිමුඛී සුත්තං
sn-3-8-1-1	සුද්ධික සුත්තං
sn-3-8-1-2	පණීතතර සුත්තං
sn-3-8-1-3	උපොසථ සුත්තං
sn-3-8-1-4	දුතිය උපොසථ සුත්තං
sn-3-8-1-5	තතිය උපොසථ සුත්තං
sn-3-8-1-6	චතුත්ථ උපොසථ සුත්තං
sn-3-8-1-7	සුත සුත්තං
sn-3-8-1-8	දුතිය සුත සුත්තං
sn-3-8-1-9	තතිය සුත සුත්තං
sn-3-8-1-10	චතුත්ථ සුත සුත්තං
sn-3-8-1-11	අන්නදායක අණ්ඩජ සුත්තං
sn-3-8-1-12	පානදායකඅණ්ඩජසුත්තං
sn-3-8-1-13	වත්ථදායක අණ්ඩජසුත්තං
sn-3-8-1-14	යානදායක අණ්ඩජ සුත්තං
sn-3-8-1-15	මාලාදායක අණ්ඩජ සුත්තං
sn-3-8-1-16	ගන්ධදායක අණ්ඩජ සුත්තං
sn-3-8-1-17	විලෙපනදායක අණ්ඩජ සුත්තං
sn-3-8-1-18	සෙය්යදායක අණ්ඩජ සුත්තං
sn-3-8-1-19	ආවසථදායක අණ්ඩජ සුත්තං
sn-3-8-1-20	පදීපෙය්යදායක අණ්ඩජ සුත්තං
sn-3-8-1-21	අන්නදායකාදි ජලාබුජ සංසෙදජ සුත්තානි
sn-3-8-1-22	අන්නදායක ඔපපාතික සුත්තං
sn-3-8-1-23	පානදායක ඔපපාතික සුත්තං
sn-3-8-1-24	වත්ථදායක ඔපපාතික සුත්තං
sn-3-8-1-25	යානදායක ඔපපාතික සුත්තං
sn-3-8-1-26	මාලාදායක ඔපපාතික සුත්තං
sn-3-8-1-27	ගන්ධදායක ඔපපාතික සුත්තං
sn-3-8-1-28	විලෙපන දායක ඔපපාතික සුත්තං
sn-3-8-1-29	සෙය්යදායක ඔපපාතික සුත්තං
sn-3-8-1-30	ආවසථදායක ඔපපාතික සුත්තං
sn-3-8-1-31	පදීපෙය්යදායක ඔපපාතික සුත්තං
sn-3-9-1-1	සුද්ධික සුත්තං
sn-3-9-1-2	හරන්ති සුත්තං
sn-3-9-1-3	ද්වයකාරී සුත්තං
sn-3-9-1-4	දුතිය, තතිය, චතුත්ථ ද්වයකාරී සුත්තානි
sn-3-9-1-5	අන්නදායක අණ්ඩජ සුත්තං
sn-3-9-1-6	පානදායක අණ්ඩජ සුත්තං
sn-3-9-1-7	වත්ථදායක අණ්ඩජ සුත්තං
sn-3-9-1-8	යානදායක අණ්ඩජ සුත්තං
sn-3-9-1-9	මාලාදායක අණ්ඩජ සුත්තං
sn-3-9-1-10	ගන්ධදායක අණ්ඩජ සුත්තං
sn-3-9-1-11	විලෙපනදායක අණ්ඩජ සුත්තං
sn-3-9-1-12	සෙය්යදායක අණ්ඩජ සුත්තං
sn-3-9-1-13	ආවසථදායක අණ්ඩජ සුත්තං
sn-3-9-1-14	පදීපෙය්යදායක අණ්ඩජ සුත්තං
sn-3-9-1-15	අන්නදායකාදිජලාබුජ සංසෙදජ සුත්තානි
sn-3-9-1-16	අන්නදායක ඔපපාතික සුත්තං
sn-3-9-1-17	පානදායක ඔපපාතික සුත්තං
sn-3-9-1-18	වත්ථදායක ඔපපාතික සුත්තං
sn-3-9-1-19	යානදායක ඔපපාතික සුත්තං
sn-3-9-1-20	මාලාදායක ඔපපාතික සුත්තං
sn-3-9-1-21	ගන්ධදායක ඔපපාතික සුත්තං
sn-3-9-1-22	විලෙපනදායක ඔපපාතික සුත්තං
sn-3-9-1-23	සෙය්යදායක ඔපපාතික සුත්තං
sn-3-9-1-24	ආවසථදායක ඔපපාතික සුත්තං
sn-3-9-1-25	පදීපෙය්යදායක ඔපපාතික සුත්තං
sn-3-10-1-1	සුද්ධික සුත්තං
sn-3-10-1-2	සුචරිත සුත්තං
sn-3-10-1-3	මූලගන්ධ සුත්තං
sn-3-10-1-4	සාරගන්ධාදි සුත්තානි
sn-3-10-1-5	අන්නදානාදි මූලගන්ධ සුත්තානි
sn-3-10-1-6	අනනදානාදි සාරගන්ධාදි සුත්තානි
sn-3-11-1-1	සුද්ධික සුත්තං
sn-3-11-1-2	සුචරිත සුත්තං
sn-3-11-1-3	අන්නදායකාදි සීතවලාහක සුත්තානි
sn-3-11-1-4	අන්නදායකාදි උණ්හවලාහකාදි සුත්තානි
sn-3-11-1-5	සීතවලාහක සුත්තං
sn-3-11-1-6	උණ්හවලාහක සුත්තං
sn-3-11-1-7	අබ්භවලාහකා සුත්තං
sn-3-11-1-8	වාතවලාහක සුත්තං
sn-3-11-1-9	වස්සවලාහක සුත්තං
sn-3-12-1-1	රූප අඤ්ඤාණ සුත්තං
sn-3-12-1-2	වෙදනා අඤ්ඤාණ සුත්තං
sn-3-12-1-3	සඤ්ඤා අඤ්ඤාණ සුත්තං
sn-3-12-1-4	සඞ්ඛාර අඤ්ඤාණ සුත්තං
sn-3-12-1-5	විඤ්ඤාණ අඤ්ඤාණ සුත්තං
sn-3-12-1-6	රූප අදස්සන සුත්තං
sn-3-12-1-7	වෙදනා අදස්සන සුත්තං
sn-3-12-1-8	සඤ්ඤා අදස්සන සුත්තං
sn-3-12-1-9	සඞ්ඛාර අදස්සන සුත්තං
sn-3-12-1-10	විඤ්ඤාණ අදස්සන සුත්තං
sn-3-12-1-11	රූප අනභිසමය සුත්තං
sn-3-12-1-12	වෙදනා අනභිසමය සුත්තං
sn-3-12-1-13	සඤ්ඤා අනභිසමය සුත්තං
sn-3-12-1-14	සංඛාර අනභිසමය සුත්තං
sn-3-12-1-15	විඤ්ඤාණ අනභිසමය සුත්තං
sn-3-12-1-16	රූප අනනුබොධ සුත්තං
sn-3-12-1-17	වෙදනා අනනුබොධ සුත්තං
sn-3-12-1-18	සඤ්ඤා අනනුබොධ සුත්තං
sn-3-12-1-19	සඞ්ඛාර අනනුබොධ සුත්තං
sn-3-12-1-20	විඤ්ඤාණ අනනුබොධ සුත්තං
sn-3-12-1-21	රූප අප්පටිවෙධ සුත්තං
sn-3-12-1-22	වෙදනා අප්පටිවෙධ සුත්තං
sn-3-12-1-23	සඤ්ඤා අප්පටිවෙධ සුත්තං
sn-3-12-1-24	සඞ්ඛාර අප්පටිවෙධ සුත්තං
sn-3-12-1-25	විඤ්ඤාණ අප්පටිවෙධ සුත්තං
sn-3-12-1-26	රූපාදි අසල්ලක්ඛණ සුත්තානි
sn-3-12-1-27	විඤ්ඤාණ අසල්ලක්ඛණ සුත්තං
sn-3-12-1-28	රූපාදි අනුපලක්ඛණ සුත්තානි
sn-3-12-1-29	විඤ්ඤාණ අනුපලක්ඛණ සුත්තං
sn-3-12-1-30	රූපාදි අපච්චුපලක්ඛණ සුත්තානි
sn-3-12-1-31	රූපාදි අසමපෙක්ඛණ සුත්තානි
sn-3-12-1-32	රූපාදි අපච්චුපෙක්ඛණ සුත්තානි
sn-3-12-1-33	රූප අපච්චක්ඛකම්ම සුත්තං
sn-3-12-1-34	වෙදනා අපච්චක්ඛකම්ම සුත්තං
sn-3-12-1-35	සඤ්ඤා අපච්චක්ඛකම්ම සුත්තං
sn-3-12-1-36	සංඛාර අපච්චක්ඛකම්ම සුත්තං
sn-3-12-1-37	විඤ්ඤාණ අපච්චක්ඛකම්ම සුත්තං
sn-3-13-1-1	සමාපත්තිකුසල සුත්තං
sn-3-13-1-2	ඨිති කුසල සුත්තං
sn-3-13-1-3	වුට්ඨාන කුසල සුත්තං
sn-3-13-1-4	කල්ලිත කුසල සුත්තං
sn-3-13-1-5	ආරම්මණ කුසල සුත්තං
sn-3-13-1-6	ගොචර කුසල සුත්තං
sn-3-13-1-7	අභිනීහාර කුසල සුත්තං
sn-3-13-1-8	සක්කච්චකාරී සුත්තං
sn-3-13-1-9	සාතච්චකාරී සුත්තං
sn-3-13-1-10	සප්පායකාරී සුත්තං
sn-3-13-1-11	සමාපත්තිඨිතිකුසල සුත්තං
sn-3-13-1-12	සමාපත්තිවුට්ඨානකුසල සුත්තං
sn-3-13-1-13	සමාපත්තිකල්ලිතකුසල සුත්තං
sn-3-13-1-14	සමාපත්ති ආරම්මණ කුසල සුත්තං
sn-3-13-1-15	සමාපත්ති ගොචර කුසල සුත්තං
sn-3-13-1-16	සමාපත්ති අභිනීහාර කුසල සුත්තං
sn-3-13-1-17	සමාපත්ති සක්කච්චකාරී සුත්තං
sn-3-13-1-18	සමාපත්ති සාතච්චකාරී සුත්තං
sn-3-13-1-19	සමාපත්ති සප්පායකාරී සුත්තං
sn-3-13-1-20	ඨිති වුට්ඨාන සුත්තං
sn-3-13-1-21	ඨිති කල්ලිත සුත්තං
sn-3-13-1-22	ඨිති ආරම්මණ සුත්තං
sn-3-13-1-23	ඨිති ගොචර සුත්තං
sn-3-13-1-24	ඨිති අභිනීහාර සුත්තං
sn-3-13-1-25	ඨිති සක්කච්චකාරී සුත්තං
sn-3-13-1-26	ඨිති සාතච්චකාරී සුත්තං
sn-3-13-1-27	ඨිති සප්පායකාරී සුත්තං
sn-3-13-1-28	වුට්ඨාන කල්ලිත සුත්තං
sn-3-13-1-29	වුට්ඨාන ආරම්මණ සුත්තං
sn-3-13-1-30	වුට්ඨාන ගොචර සුත්තං
sn-3-13-1-31	වුට්ඨාන අභිනීහාර සුත්තං
sn-3-13-1-32	වුට්ඨාන සක්කච්චකාරී සුත්තං
sn-3-13-1-33	වුට්ඨාන සාතච්චකාරී සුත්තං
sn-3-13-1-34	වුට්ඨාන සප්පායකාරී සුත්තං
sn-3-13-1-35	කල්ලිත ආරම්මණ සුත්තං
sn-3-13-1-36	කල්ලිත ගොචර සුත්තං
sn-3-13-1-37	කල්ලිත අභිනීහාර සුත්තං
sn-3-13-1-38	කල්ලිත සක්කච්චකාරී සුත්තං
sn-3-13-1-39	කල්ලිත සාතච්චකාරී සුත්තං
sn-3-13-1-40	කල්ලිත සප්පායකාරී සුත්තං
sn-3-13-1-41	ආරම්මණ ගොචර සුත්තං
sn-3-13-1-42	ආරම්මණ අභිනීහාර සුත්තං
sn-3-13-1-43	ආරම්මණ සක්කච්චකාරී සුත්තං
sn-3-13-1-44	ආරම්මණ සාතච්චකාරී සුත්තං
sn-3-13-1-45	ආරම්මණ සප්පායකාරී සුත්තං
sn-3-13-1-46	ගොචර අභිනීහාර සුත්තං
sn-3-13-1-47	ගොචර සක්කච්චකාරී සුත්තං
sn-3-13-1-48	ගොචර සාතච්චකාරී සුත්තං
sn-3-13-1-49	ගොචර සප්පායකාරී සුත්තං
