# 1250 BJT suttas with NO clean 1:1 on Mahamevnawa, grouped by reason.
# Regenerated by build_map.py on every run -- do not hand-edit (edits are overwritten).
# Nearly all are peyyala: repetition series Mahamevnawa bundles onto fewer pages.

# === region-mismatch  (62) ===
#   MIXED region. The two editions enumerate this stretch with different sutta counts, so the positional step skips the WHOLE region. Most are peyyala, but a minority are ordinary suttas that DO have a separate Mahamevnawa page (e.g. an-10-3-2 අජිත, sn-2-6-1 විඤ්ඤාණ) -- collateral of a spelling-variant vagga name; recoverable with finer per-title alignment, still link-gated. NOT all peyyala.
an-2-16-1	2. 16. 1-5
sn-4-1-17-27	අජ්ඣත්තායතන අනත්තසුත්තං
sn-4-1-17-28	බාහිරායතන අනිච්චසුත්තං
sn-4-1-17-29	බාහිරායතන දුක්ඛසුත්තං
sn-4-1-17-30	බාහිරායතන අනත්තසුත්තං
sn-4-6-19	සුයාමසුත්තානි
sn-4-6-20	සන්තුසිතසුත්තානි
sn-4-6-21	සුනිම්මිතසුත්තානි
sn-4-6-22	වසවත්තිසුත්තානි

# === maha-bundled-subtree  (1148) ===
#   BUNDLED SUBTREE. Mahamevnawa collapses this whole BJT branch onto one page, so the individual suttas under it have no separate target.
an-1-1-1	1. 1. 1
an-1-1-2	1. 1. 2
an-1-1-3	1. 1. 3
an-1-1-4	1. 1. 4
an-1-1-5	1. 1. 5
an-1-1-6	1. 1. 6
an-1-1-7	1. 1. 7
an-1-1-8	1. 1. 8
an-1-1-9	1. 1. 9
an-1-1-10	1. 1. 10
an-1-2-1	1. 2. 1
an-1-2-2	1. 2. 2
an-1-2-3	1. 2. 3
an-1-2-4	1. 2. 4
an-1-2-5	1. 2. 5
an-1-2-6	1. 2. 6
an-1-2-7	1. 2. 7
an-1-2-8	1. 2. 8
an-1-2-9	1. 2. 9
an-1-2-10	1. 2. 10
an-1-3-1	1. 3. 1
an-1-3-2	1. 3. 2
an-1-3-3	1. 3. 3
an-1-3-4	1. 3. 4
an-1-3-5	1. 3. 5
an-1-3-6	1. 3. 6
an-1-3-7	1. 3. 7
an-1-3-8	1. 3. 8
an-1-3-9	1. 3. 9
an-1-3-10	1. 3. 10
an-1-4-1	1. 4. 1
an-1-4-2	1. 4. 2
an-1-4-3	1. 4. 3
an-1-4-4	1. 4. 4
an-1-4-5	1. 4. 5
an-1-4-6	1. 4. 6
an-1-4-7	1. 4. 7
an-1-4-8	1. 4. 8
an-1-4-9	1. 4. 9
an-1-4-10	1. 4. 10
an-1-5-1	1. 5. 1
an-1-5-2	1. 5. 2
an-1-5-3	1. 5. 3
an-1-5-4	1. 5. 4
an-1-5-5	1. 5. 5
an-1-5-6	1. 5. 6
an-1-5-7	1. 5. 7
an-1-5-8	1. 5. 8
an-1-5-9	1. 5. 9
an-1-5-10	1. 5. 10
an-1-6-1	1. 6. 1
an-1-6-2	1. 6. 2
an-1-6-3	1. 6. 3
an-1-6-4	1. 6. 4
an-1-6-5	1. 6. 5
an-1-6-6	1. 6. 6
an-1-6-7	1. 6. 7
an-1-6-8	1. 6. 8
an-1-6-9	1. 6. 9
an-1-6-10	1. 6. 10
an-1-7-1	1. 7. 1
an-1-7-2	1. 7. 2
an-1-7-3	1. 7. 3
an-1-7-4	1. 7. 4
an-1-7-5	1. 7. 5
an-1-7-6	1. 7. 6
an-1-7-7	1. 7. 7
an-1-7-8	1. 7. 8
an-1-7-9	1. 7. 9
an-1-7-10	1. 7. 10
an-1-8-1	1. 8. 1
an-1-8-2	1. 8. 2
an-1-8-3	1. 8. 3
an-1-8-4	1. 8. 4
an-1-8-5	1. 8. 5
an-1-8-6	1. 8. 6
an-1-8-7	1. 8. 7
an-1-8-8	1. 8. 8
an-1-8-9	1. 8. 9
an-1-8-10	1. 8. 10
an-1-8-11	1. 8. 11
an-1-9-1	1. 9. 1
an-1-9-2	1. 9. 2
an-1-9-3	1. 9. 3
an-1-9-4	1. 9. 4
an-1-9-5	1. 9. 5
an-1-9-6	1. 9. 6
an-1-9-7	1. 9. 7
an-1-9-8	1. 9. 8
an-1-9-9	1. 9. 9
an-1-9-10	1. 9. 10
an-1-9-11	1. 9. 11
an-1-9-12	1. 9. 12
an-1-9-13	1. 9. 13
an-1-9-14	1. 9. 14
an-1-9-15	1. 9. 15
an-1-9-16	1. 9. 16
an-1-10-1	1. 10. 1
an-1-10-2	1. 10. 2
an-1-10-3	1. 10. 3
an-1-10-4	1. 10. 4
an-1-10-5	1. 10. 5
an-1-10-6	1. 10. 6
an-1-10-7	1. 10. 7
an-1-10-8	1. 10. 8
an-1-10-9	1. 10. 9
an-1-10-10	1. 10. 10
an-1-10-11	1. 10. 11
an-1-10-12	1. 10. 12
an-1-10-13	1. 10. 13
an-1-10-14	1. 10. 14
an-1-10-15	1. 10. 15
an-1-10-16	1. 10. 16
an-1-10-17	1. 10. 17
an-1-10-18	1. 10. 18
an-1-10-19	1. 10. 19
an-1-10-20	1. 10. 20
an-1-10-21	1. 10. 21-30
an-1-10-22	1. 10. 31
an-1-10-23	1. 10. 32
an-1-10-24	1. 10. 33
an-1-10-25	1. 10. 34-42
an-1-11-1	1. 11. 1
an-1-11-2	1. 11. 2-10
an-1-12-1	1. 12. 1-10
an-1-12-2	1. 12. 11-20
an-1-13-1	1. 13. 1
an-1-13-2	1. 13. 2
an-1-13-3	1. 13. 3
an-1-13-4	1. 13. 4
an-1-13-5	1. 13. 5-13
an-1-13-6	1. 13. 14-25
an-1-13-7	1. 13. 26
an-1-14-1	1. 14. 1. 1-10
an-1-14-2	1. 14. 2. 1-11
an-1-14-3	1. 14. 3. 1-10
an-1-14-4	1. 14. 4. 1-16
an-1-14-5	1. 14. 5. 1-13
an-1-14-6	1. 14. 6. 1-10
an-1-14-7	1. 14. 7. 1-10
an-1-15-1	1. 15. 1
an-1-15-2	1. 15. 2
an-1-15-3	1. 15. 3
an-1-15-4	1. 15. 4
an-1-15-5	1. 15. 5
an-1-15-6	1. 15. 6
an-1-15-7	1. 15. 7
an-1-15-8	1. 15. 8
an-1-15-9	1. 15. 9
an-1-15-10	1. 15. 10
an-1-15-11	1. 15. 11
an-1-15-12	1. 15. 12
an-1-15-13	1. 15. 13
an-1-15-14	1. 15. 14-16
an-1-15-15	1. 15. 17
an-1-15-16	1. 15. 18-19
an-1-15-17	1. 15. 20
an-1-15-18	1. 15. 21-22
an-1-15-19	1. 15. 23
an-1-15-20	1. 15. 24-25
an-1-15-21	1. 15. 26
an-1-15-22	1. 15. 27-28
an-1-16-1-1	1. 16. 1. 1
an-1-16-1-2	1. 16. 1. 2-10
an-1-16-2-1	1. 16. 2. 1
an-1-16-2-2	1. 16. 2. 2
an-1-16-2-3	1. 16. 2. 3
an-1-16-2-4	1. 16. 2. 4
an-1-16-2-5	1. 16. 2. 5
an-1-16-2-6	1. 16. 2. 6
an-1-16-2-7	1. 16. 2. 7
an-1-16-2-8	1. 16. 2. 8
an-1-16-2-9	1. 16. 2. 9-15
an-1-16-2-10	1. 16. 2. 16-22
an-1-16-3-1	1. 16. 3. 1
an-1-16-3-2	1. 16. 3. 2
an-1-16-3-3	1. 16. 3. 3
an-1-16-3-4	1. 16. 3. 4
an-1-16-3-5	1. 16. 3. 5
an-1-16-3-6	1. 16. 3. 6
an-1-16-3-7	1. 16. 3. 7
an-1-16-3-8	1. 16. 3. 8
an-1-16-3-9	1. 16. 3. 9
an-1-16-3-10	1. 16. 3. 10
an-1-16-3-11	1. 16. 3. 11
an-1-16-3-12	1. 16. 3. 12
an-1-16-3-13	1. 16. 3. 13
an-1-16-3-14	1. 16. 3. 14-17
an-1-16-4-1	1. 16. 4. 1
an-1-16-4-2	1. 16. 4. 2
an-1-16-4-3	1. 16. 4. 3
an-1-16-4-4	1. 16. 4. 4
an-1-16-4-5	1. 16. 4. 5
an-1-16-4-6	1. 16. 4. 6
an-1-16-4-7	1. 16. 4. 7
an-1-16-4-8	1. 16. 4. 8
an-1-16-4-9	1. 16. 4. 9
an-1-16-4-10	1. 16. 4. 10
an-1-16-4-11	1. 16. 4. 11
an-1-16-4-12	1. 16. 4. 12
an-1-16-4-13	1. 16. 4. 13
an-1-16-4-14	1. 16. 4. 14
an-1-16-4-15	1. 16. 4. 15
an-1-16-4-16	1. 16. 4. 16-18
an-1-16-4-17	1. 16. 4. 19-21
an-1-16-4-18	1. 16. 4. 22-24
an-1-16-4-19	1. 16. 4. 25-27
an-1-16-4-20	1. 16. 4. 28-30
an-1-16-4-21	1. 16. 4. 31-33
an-1-16-4-22	1. 16. 4. 34-36
an-1-16-4-23	1. 16. 4. 37-39
an-1-16-4-24	1. 16. 4. 40-42
an-1-16-4-25	1. 16. 4. 43-45
an-1-16-5-1	1. 16. 5. 1-16
an-1-16-6-1	1. 16. 6. 1
an-1-16-6-2	1. 16. 6. 2-8
an-1-16-6-3	1. 16. 6. 9-12
an-1-16-6-4	1. 16. 6. 13-16
an-1-16-6-5	1. 16. 6. 17-20
an-1-16-6-6	1. 16. 6. 21-25
an-1-16-6-7	1. 16. 6. 26-30
an-1-16-6-8	1. 16. 6. 31-37
an-1-16-6-9	1. 16. 6. 38-45
an-1-16-6-10	1. 16. 6. 46-53
an-1-16-6-11	1. 16. 6. 54-61
an-1-16-6-12	1. 16. 6. 62-72
an-1-16-6-13	1. 16. 6. 73-82
an-1-16-6-14	1. 16. 6. 83-92
an-1-16-6-15	1. 16. 6. 93-102
an-1-16-6-16	1. 16. 6. 103-142
an-1-16-6-17	1. 16. 6. 143-182
an-1-16-7-1	1. 16. 7. 1
an-1-16-7-2	1. 16. 7. 2-8
an-1-16-7-3	1. 16. 7. 9-12
an-1-16-7-4	1. 16. 7. 13
an-1-16-7-5	1. 16. 7. 14
an-1-16-7-6	1. 16. 7. 15-19
an-1-16-7-7	1. 16. 7. 20-21
an-1-16-7-8	1. 16. 7. 22-24
an-1-16-7-9	1. 16. 7. 25-28
an-1-16-7-10	1. 16. 7. 29-44
an-1-16-8-1	1. 16. 8. 1-8
an-1-16-8-2	1. 16. 8. 9-24
an-2-1-2-1	2. 1. 2. 1
an-2-1-2-2	2. 1. 2. 2
an-2-1-2-3	2. 1. 2. 3
an-2-1-2-4	2. 1. 2. 4
an-2-1-2-5	2. 1. 2. 5
an-2-1-2-6	2. 1. 2. 6
an-2-1-2-7	2. 1. 2. 7
an-2-1-2-8	2. 1. 2. 8
an-2-1-2-9	2. 1. 2. 9
an-2-1-2-10	2. 1. 2. 10
an-2-1-3-1	2. 1. 3. 1
an-2-1-3-2	2. 1. 3. 2
an-2-1-3-3	2. 1. 3. 3
an-2-1-3-4	2. 1. 3. 4
an-2-1-3-5	2. 1. 3. 5
an-2-1-3-6	2. 1. 3. 6
an-2-1-3-7	2. 1. 3. 7
an-2-1-3-8	2. 1. 3. 8
an-2-1-3-9	2. 1. 3. 9
an-2-1-3-10	2. 1. 3. 10
an-2-1-3-11	2. 1. 3. 11
an-2-1-3-12	2. 1. 3. 12
an-2-1-4-1	2. 1. 4. 1
an-2-1-4-2	2. 1. 4. 2
an-2-1-4-3	2. 1. 4. 3
an-2-1-4-4	2. 1. 4. 4
an-2-1-4-5	2. 1. 4. 5
an-2-1-4-6	2. 1. 4. 6
an-2-1-4-7	2. 1. 4. 7
an-2-1-4-8	2. 1. 4. 8
an-2-1-4-9	2. 1. 4. 9
an-2-1-4-10	2. 1. 4. 10
an-2-1-5-1	2. 1. 5. 1
an-2-1-5-2	2. 1. 5. 2
an-2-1-5-3	2. 1. 5. 3
an-2-1-5-4	2. 1. 5. 4
an-2-1-5-5	2. 1. 5. 5
an-2-1-5-6	2. 1. 5. 6
an-2-1-5-7	2. 1. 5. 7
an-2-1-5-8	2. 1. 5. 8
an-2-1-5-9	2. 1. 5. 9
an-2-1-5-10	2. 1. 5. 10
an-2-2-6-1	2. 2. 6. 1
an-2-2-6-2	2. 2. 6. 2
an-2-2-6-3	2. 2. 6. 3
an-2-2-6-4	2. 2. 6. 4
an-2-2-6-5	2. 2. 6. 5
an-2-2-6-6	2. 2. 6. 6
an-2-2-6-7	2. 2. 6. 7
an-2-2-6-8	2. 2. 6. 8
an-2-2-6-9	2. 2. 6. 9
an-2-2-6-10	2. 2. 6. 10
an-2-2-6-11	2. 2. 6. 11
an-2-2-6-12	2. 2. 6. 12
an-2-2-6-13	2. 2. 6. 13
an-2-2-7-1	2. 2. 7. 1
an-2-2-7-2	2. 2. 7. 2
an-2-2-7-3	2. 2. 7. 3
an-2-2-7-4	2. 2. 7. 4
an-2-2-7-5	2. 2. 7. 5
an-2-2-7-6	2. 2. 7. 6
an-2-2-7-7	2. 2. 7. 7
an-2-2-7-8	2. 2. 7. 8
an-2-2-7-9	2. 2. 7. 9
an-2-2-7-10	2. 2. 7. 10
an-2-2-7-11	2. 2. 7. 11
an-2-2-7-12	2. 2. 7. 12
an-2-2-7-13	2. 2. 7. 13
an-2-2-8-1	2. 2. 8. 1
an-2-2-8-2	2. 2. 8. 2
an-2-2-8-3	2. 2. 8. 3
an-2-2-8-4	2. 2. 8. 4
an-2-2-8-5	2. 2. 8. 5
an-2-2-8-6	2. 2. 8. 6
an-2-2-8-7	2. 2. 8. 7
an-2-2-8-8	2. 2. 8. 8
an-2-2-8-9	2. 2. 8. 9
an-2-2-8-10	2. 2. 8. 10
an-2-2-9-1	2. 2. 9. 1
an-2-2-9-2	2. 2. 9. 2
an-2-2-9-3	2. 2. 9. 3
an-2-2-9-4	2. 2. 9. 4
an-2-2-9-5	2. 2. 9. 5
an-2-2-9-6	2. 2. 9. 6
an-2-2-9-7	2. 2. 9. 7
an-2-2-9-8	2. 2. 9. 8
an-2-2-9-9	2. 2. 9. 9
an-2-2-9-10	2. 2. 9. 10
an-2-2-9-11	2. 2. 9. 11
an-2-2-10-1	2. 2. 10. 1
an-2-2-10-2	2. 2. 10. 2
an-2-2-10-3	2. 2. 10. 3
an-2-2-10-4	2. 2. 10. 4
an-2-2-10-5	2. 2. 10. 5
an-2-2-10-6	2. 2. 10. 6
an-2-2-10-7	2. 2. 10. 7
an-2-2-10-8	2. 2. 10. 8
an-2-2-10-9	2. 2. 10. 9
an-2-2-10-10	2. 2. 10. 10
an-2-2-10-11	2. 2. 10. 11
an-2-2-10-12	2. 2. 10. 12
an-2-2-10-13	2. 2. 10. 13
an-2-2-10-14	2. 2. 10. 14
an-2-2-10-15	2. 2. 10. 15
an-2-2-10-16	2. 2. 10. 16
an-2-2-10-17	2. 2. 10. 17
an-2-2-10-18	2. 2. 10. 18
an-2-2-10-19	2. 2. 10. 19
an-2-2-10-20	2. 2. 10. 20
an-2-3-11-1	2. 3. 11. 1
an-2-3-11-2	2. 3. 11. 2
an-2-3-11-3	2. 3. 11. 3
an-2-3-11-4	2. 3. 11. 4
an-2-3-11-5	2. 3. 11. 5
an-2-3-11-6	2. 3. 11. 6
an-2-3-11-7	2. 3. 11. 7
an-2-3-11-8	2. 3. 11. 8
an-2-3-11-9	2. 3. 11. 9
an-2-3-11-10	2. 3. 11. 10
an-2-3-11-11	2. 3. 11. 11
an-2-3-11-12	2. 3. 11. 12
an-2-3-12-1	2. 3. 12. 1
an-2-3-12-2	2. 3. 12. 2
an-2-3-12-3	2. 3. 12. 3
an-2-3-12-4	2. 3. 12. 4
an-2-3-12-5	2. 3. 12. 5
an-2-3-12-6	2. 3. 12. 6
an-2-3-12-7	2. 3. 12. 6
an-2-3-12-8	2. 3. 12. 7
an-2-3-12-9	2. 3. 12. 8
an-2-3-12-10	2. 3. 12. 9
an-2-3-12-11	2. 3. 12. 10
an-2-3-12-12	2. 3. 12. 11
an-2-3-12-13	2. 3. 12. 12
an-2-3-12-14	2. 3. 12. 13
an-2-3-12-15	2. 3. 12. 14
an-2-3-13-1	2. 3. 13. 1
an-2-3-13-2	2. 3. 13. 2
an-2-3-13-3	2. 3. 13. 3
an-2-3-13-4	2. 3. 13. 4
an-2-3-13-5	2. 3. 13. 5
an-2-3-13-6	2. 3. 13. 6
an-2-3-13-7	2. 3. 13. 7
an-2-3-13-8	2. 3. 13. 8
an-2-3-13-9	2. 3. 13. 9
an-2-3-13-10	2. 3. 13. 10
an-2-3-14-1	2. 3. 14. 1
an-2-3-14-2	2. 3. 14. 2
an-2-3-14-3	2. 3. 14. 3
an-2-3-14-4	2. 3. 14. 4
an-2-3-14-5	2. 3. 14. 5
an-2-3-14-6	2. 3. 14. 6
an-2-3-14-7	2. 3. 14. 7
an-2-3-14-8	2. 3. 14. 8
an-2-3-14-9	2. 3. 14. 9
an-2-3-14-10	2. 3. 14. 10
an-2-3-14-11	2. 3. 14. 11
an-2-3-14-12	2. 3. 14. 12
an-2-3-15-1	2. 3. 15. 1
an-2-3-15-2	2. 3. 15. 2
an-2-3-15-3	2. 3. 15. 3
an-2-3-15-4	2. 3. 15. 4
an-2-3-15-5	2. 3. 15. 5
an-2-3-15-6	2. 3. 15. 6
an-2-3-15-7	2. 3. 15. 7
an-2-3-15-8	2. 3. 15. 8
an-2-3-15-9	2. 3. 15. 9
an-2-3-15-10	2. 3. 15. 10
an-2-3-15-11	2. 3. 15. 11
an-2-3-15-12	2. 3. 15. 12
an-2-3-15-13	2. 3. 15. 13
an-2-3-15-14	2. 3. 15. 14
an-2-3-15-15	2. 3. 15. 15
an-2-3-15-16	2. 3. 15. 16
an-2-3-15-17	2. 3. 15. 17
an-3-6-1	3. 6. 1
an-3-6-2	3. 6. 2
an-3-6-3	3. 6. 3
an-3-6-4	3. 6. 4
an-3-6-5	3. 6. 5
an-3-6-6	3. 6. 6
an-3-6-7	3. 6. 7
an-3-7-1	3. 7. 1
an-3-7-2	3. 7. 2
an-3-7-3	3. 7. 3
an-3-7-4	3. 7. 4
an-3-7-5	3. 7. 5
an-3-7-6	3. 7. 6
an-3-7-7	3. 7. 7
an-3-7-8	3. 7. 8
an-3-7-9	3. 7. 9
an-3-7-10	3. 7. 10
an-3-7-11	3. 7. 11
an-3-7-12	3. 7. 12
an-3-7-13	3. 7. 13
an-3-7-14	3. 7. 14
an-3-7-15	3. 7. 15
an-3-7-16	3. 7. 16
an-3-7-17	3. 7. 17
an-3-7-18	3. 7. 18
an-3-7-19	3. 7. 19
an-3-7-20	3. 7. 20
an-3-8-1	3. 8. 1-170
an-4-5-2-1	පරිසසොභනසුත්තං
an-4-5-2-2	පඨම නිරය සග්ගනික්ඛිත්තසුත්තං
an-4-5-2-3	දුතිය නිරය-සග්ග නික්ඛිත්තසුත්තං
an-4-5-2-4	තතිය නිරය-සග්ග නික්ඛිත්ත සුත්තං
an-4-5-2-5	චතුත්ථ නිරය-සග්ග නික්ඛිත්ත සුත්තං
an-4-5-2-6	පඤ්චම නිරය - සග්ග නික්ඛිත්ත සුත්තං
an-4-5-2-7	ඡට්ඨම නිරය - සග්ග නික්ඛිත්ත සුත්තං
an-4-5-2-8	සත්තම නිරය - සග්ග නික්ඛි ත්ත සුත්තං
an-4-5-2-9	අට්ඨම නිරය-සග්ග නික්ඛිත්ත සුත්තං
an-4-5-2-10	නවම නිරය-සග්ග නික්ඛිත්ත සුත්තං
an-4-5-3-1	වචීසුචරිතසුත්තං
an-4-5-3-2	පඨම බාල-පණ්ඩිතසුත්තං
an-4-5-3-3	දුතිය බාල - පණ්ඩිත සුත්තං
