nodeKey,collection,pali_name,sinhala_name,sutta_count,min_sutta_chars,max_sutta_chars,total_vagga_chars,chapter_url,content_file
kn-jat-1-11,kn,11. පරොසතවග්ගො,11. පරොසත වර්‍ගය,10,224,626,3414,/tipitaka/kn-jat-1-11,kn-jat
kn-jat-1-12,kn,12. හංසිවග්ගො,12. හංස වර්‍ගය,10,238,608,3277,/tipitaka/kn-jat-1-12,kn-jat
kn-jat-1-13,kn,13. කුසනාළිවග්ගො,13. කුසනාළි වර්‍ගය,10,229,551,3160,/tipitaka/kn-jat-1-13,kn-jat
kn-jat-1-14,kn,14. අසම්පදානවග්ගො,14. අසම්පදාන වර්‍ගය,10,256,576,3214,/tipitaka/kn-jat-1-14,kn-jat
kn-jat-1-15,kn,15. කකණ්ටකවග්ගො,15. කකණ්ටක වර්‍ගය,10,229,1004,3412,/tipitaka/kn-jat-1-15,kn-jat
kn-jat-1-2,kn,2. සීලවග්ගො,2. සීල වර්‍ගය,10,268,614,4049,/tipitaka/kn-jat-1-2,kn-jat
kn-jat-1-3,kn,3. කුරුඞ්ගවග්ගො,3. කුරුඞ්ග වර්‍ගය,10,247,596,3560,/tipitaka/kn-jat-1-3,kn-jat
kn-jat-1-4,kn,4. කුලාවකවග්ගො,4. කුලාවක වර්‍ගය,10,247,673,3358,/tipitaka/kn-jat-1-4,kn-jat
kn-jat-1-5,kn,5. අත්ථකාමවග්ගො,5. අත්‍ථකාම වර්‍ගය,10,275,596,3390,/tipitaka/kn-jat-1-5,kn-jat
kn-jat-1-6,kn,6. ආසිංසවග්ගො,6. ආසිංස වර්‍ගය,10,252,664,3489,/tipitaka/kn-jat-1-6,kn-jat
kn-jat-1-7,kn,7. ඉත්ථිවග්ගො,7. ස්ත්‍රී වර්‍ගය,10,280,615,3572,/tipitaka/kn-jat-1-7,kn-jat
kn-jat-1-8,kn,8. වරණවග්ගො,8. වරුණ වර්‍ගය,10,217,940,3781,/tipitaka/kn-jat-1-8,kn-jat
kn-jat-1-9,kn,9. අපායිම්හවග්ගො,9. අපායිම්හ වර්‍ගය,10,242,607,3481,/tipitaka/kn-jat-1-9,kn-jat
kn-jat-2-10,kn,10. සිගාලවග්ගො,10. සිගාල වර්‍ගය,10,395,1402,5476,/tipitaka/kn-jat-2-10,kn-jat
kn-jat-2-2,kn,2. සන්ථවවග්ගො,2. සන්‍ථව වර්‍ගය,10,424,799,5668,/tipitaka/kn-jat-2-2,kn-jat
kn-jat-2-3,kn,3. කල්යාණධම්මවග්ගො,3. කල්‍යාණධම්ම වර්‍ගය,10,377,955,5433,/tipitaka/kn-jat-2-3,kn-jat
kn-jat-2-4,kn,4. අසදිසවග්ගො,4. අසදිස වර්‍ගය,10,435,872,5522,/tipitaka/kn-jat-2-4,kn-jat
kn-jat-2-5,kn,5. රුහකවග්ගො,5. රුහක වර්‍ගය,10,436,1014,5734,/tipitaka/kn-jat-2-5,kn-jat
kn-jat-2-7,kn,7. බීරණත්ථම්භක වග්ගො,7. බීරණථම්භ වර්‍ගය,10,416,1016,5876,/tipitaka/kn-jat-2-7,kn-jat
kn-jat-2-8,kn,8. කාසාවවග්ගො,8. කාසාව වර්‍ගය,10,504,1245,7163,/tipitaka/kn-jat-2-8,kn-jat
kn-jat-2-9,kn,9. උපාහනවග්ගො,9. උපාහන වර්‍ගය,10,422,1177,6030,/tipitaka/kn-jat-2-9,kn-jat
kn-jat-3-1,kn,1. සඞ්කප්පවග්ගො,1. සඞ්කප්ප වර්‍ගය,10,590,1099,7352,/tipitaka/kn-jat-3-1,kn-jat
kn-jat-3-2,kn,2. පදුමවග්ගො,2. පදුම වර්‍ගය,10,641,1058,7266,/tipitaka/kn-jat-3-2,kn-jat
kn-jat-3-3,kn,3. අරඤ්ඤවග්ගො,3. ආරණ්‍ය වර්‍ගය,10,611,1003,7452,/tipitaka/kn-jat-3-3,kn-jat
kn-jat-3-4,kn,4. අබ්භන්තරවග්ගො,4. අබ්භන්තර වර්‍ගය,10,634,1056,7499,/tipitaka/kn-jat-3-4,kn-jat
kn-jat-3-5,kn,5. කුම්භවග්ගො,5. කුම්භ වර්‍ගය,10,591,1333,7559,/tipitaka/kn-jat-3-5,kn-jat
kn-jat-4-1,kn,1. විවරවග්ගො,1. විවර වර්‍ගය,10,841,1302,10255,/tipitaka/kn-jat-4-1,kn-jat
kn-jat-4-2,kn,2. පුචිමන්දවග්ගො,2. පුචිමන්ද වර්‍ගය,10,735,1439,9326,/tipitaka/kn-jat-4-2,kn-jat
kn-jat-4-3,kn,3. කුටිදූසකවග්ගො,3. කුටිදූසක වර්‍ගය,10,756,1305,9486,/tipitaka/kn-jat-4-3,kn-jat
kn-jat-4-4,kn,4. කොකාලික වග්ගො,4. කෝකාලික වර්‍ගය,10,757,1408,9847,/tipitaka/kn-jat-4-4,kn-jat
kn-jat-5-2,kn,2. වණ්ණාරොහවග්ගො,2. වණ්ණාරෝහ වර්‍ගය,10,985,1273,11474,/tipitaka/kn-jat-5-2,kn-jat-5
kn-thag-1-1,kn,පඨමො වග්ගො,ප්‍රථම වර්‍ගය,10,376,939,5215,/tipitaka/kn-thag-1-1,kn-thag
kn-thag-1-10,kn,දසමො වග්ගො,දස වැනි වග,10,328,744,4391,/tipitaka/kn-thag-1-10,kn-thag
kn-thag-1-11,kn,එකාදසමො වග්ගො,එකොළොස් වැනි වග,10,357,816,4349,/tipitaka/kn-thag-1-11,kn-thag
kn-thag-1-12,kn,වග්ගො ද්වාදසමො,දොළොස් වැනි වග,10,350,1015,4558,/tipitaka/kn-thag-1-12,kn-thag
kn-thag-1-2,kn,දුතියො වග්ගො,ද්විතීය වර්‍ගය,10,335,733,4660,/tipitaka/kn-thag-1-2,kn-thag
kn-thag-1-3,kn,තතියො වග්ගො,තෘතීය වර්‍ගය,10,307,707,4071,/tipitaka/kn-thag-1-3,kn-thag
kn-thag-1-4,kn,චතුත්ථො වග්ගො,චතුර්‍ත්‍ථ වර්‍ගය,10,323,778,4486,/tipitaka/kn-thag-1-4,kn-thag
kn-thag-1-5,kn,පඤ්චමො වග්ගො,පඤ්චම වර්‍ගය,10,354,737,4481,/tipitaka/kn-thag-1-5,kn-thag
kn-thag-1-6,kn,ඡට්ඨො වග්ගො,ෂෂ්ඨ වර්‍ගය,10,342,739,4179,/tipitaka/kn-thag-1-6,kn-thag
kn-thag-1-7,kn,සත්තමො වග්ගො,සප්තම වර්‍ගය,10,359,772,4639,/tipitaka/kn-thag-1-7,kn-thag
kn-thag-1-8,kn,අට්ඨමො වග්ගො,අෂ්ටම වර්‍ගය,10,348,716,4500,/tipitaka/kn-thag-1-8,kn-thag
kn-thag-1-9,kn,නවමො වග්ගො,නවම වර්‍ගය,10,313,767,4162,/tipitaka/kn-thag-1-9,kn-thag
kn-thag-2-1,kn,වග්ගො පඨමො,ප්‍රථම වර්‍ගය,10,536,961,6192,/tipitaka/kn-thag-2-1,kn-thag
kn-thag-2-2,kn,වග්ගො දුතියො,දෙවැනි වර්‍ගය,10,519,963,6606,/tipitaka/kn-thag-2-2,kn-thag
kn-thag-2-3,kn,වග්ගො තතියො,තෙවන වර්‍ගය,10,518,905,6202,/tipitaka/kn-thag-2-3,kn-thag
kn-thag-2-4,kn,වග්ගො චතුත්ථො,සතරවැනි වර්‍ගය,10,521,1006,6841,/tipitaka/kn-thag-2-4,kn-thag
kn-thag-2-5,kn,වග්ගො පඤ්චමො,පස්වැනි වර්‍ගය,9,593,1111,6745,/tipitaka/kn-thag-2-5,kn-thag
kn-thag-3,kn,3. තිකනිපාතො,3. තික නිපාතය,16,722,1345,13610,/tipitaka/kn-thag-3,kn-thag
kn-thag-4,kn,4. චතුක්කනිපාතො,4. චතුක්ක නිපාතය,12,867,1356,12343,/tipitaka/kn-thag-4,kn-thag
kn-thig-1,kn,1. එකකනිපාතො,1. ඒකකනිපාතය,18,295,507,7144,/tipitaka/kn-thig-1,kn-thig
kn-thig-2,kn,2. දුකනිපාතො,2. දුකනිපාතය,10,565,711,6391,/tipitaka/kn-thig-2,kn-thig
kn-thig-3,kn,3. තිකනිපාතො,3. තිකනිපාතය,8,678,876,6269,/tipitaka/kn-thig-3,kn-thig
kn-thig-5,kn,5. පඤ්චකනිපාතො,5. පඤ්චකනිපාතය,12,1073,1352,14219,/tipitaka/kn-thig-5,kn-thig
sn-1-1-6,sn,6. ජරාවග්ගො,6. ජරා වර්‍ගය,10,434,734,5162,/tipitaka/sn-1-1-6,sn-1
sn-1-1-7,sn,7. අන්වවග්ගො,7. අන්‍ව වර්‍ගය,10,431,683,4723,/tipitaka/sn-1-1-7,sn-1
sn-1-1-8,sn,8. ඣත්වාවග්ගො,8. ඣත්‍වා වර්‍ගය,11,421,1240,8616,/tipitaka/sn-1-1-8,sn-1
